username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,label
carolinebenjami,"out next week!

@eleanorsegall's life was rocked by her #bipolardisorder diagnosis.

bring me to light is the true story of how she picked herself back up and turned things around in the name of #mentalhealthawareness

https://t.co/etdhr3lsnf https://t.co/yi0mct1tpo",triggercalm,"[{'text': 'bipolardisorder', 'indices': [72, 88]}]",2019-11-05 11:58:59+00:00,10,102,[]
JamGloom,"happy #bookbirthday to @eleanorsegall! 🎉

eleanor’s life was rocked by her #bipolardisorder diagnosis. this is the true story of how she picked herself back up and turned things around in the name of #mentalhealthawareness - and it’s out today! 

https://t.co/etdhr3lsnf https://t.co/gxyu8pm42s",triggercalm,"[{'text': 'bookbirthday', 'indices': [22, 35]}, {'text': 'bipolardisorder', 'indices': [91, 107]}]",2019-11-05 11:33:35+00:00,702,2968,[]
beurownlight,"happy #bookbirthday to @eleanorsegall! 🎉

eleanor’s life was rocked by her #bipolardisorder diagnosis. this is the true story of how she picked herself back up and turned things around in the name of #mentalhealthawareness - and it’s out today! 

https://t.co/etdhr3lsnf https://t.co/gxyu8pm42s",triggercalm,"[{'text': 'bookbirthday', 'indices': [22, 35]}, {'text': 'bipolardisorder', 'indices': [91, 107]}]",2019-11-05 11:28:35+00:00,9101,10012,[]
EleanorSegall,"happy #bookbirthday to @eleanorsegall! 🎉

eleanor’s life was rocked by her #bipolardisorder diagnosis. this is the true story of how she picked herself back up and turned things around in the name of #mentalhealthawareness - and it’s out today! 

https://t.co/etdhr3lsnf https://t.co/gxyu8pm42s",triggercalm,"[{'text': 'bookbirthday', 'indices': [22, 35]}, {'text': 'bipolardisorder', 'indices': [91, 107]}]",2019-11-05 11:06:52+00:00,17164,18879,[]
nishiokov,"since the dsm-5 was published,  1/3 of patients previously diagnosed w/ bipolar disorder no longer qualify as having the disorder. so what does this say about those who did meet the stricter criteria? https://t.co/fgwbvvpz7q 
@regionh @stanfordpsy @uthealthsa @mayoclinic @gwsmhs https://t.co/bhsegvze7c",PsychiatristCNS,[],2019-11-05 10:31:44+00:00,362,586,[]
FerrariJonez,i find it ironic that i went through years (like a decade y’all) of therapy and psychological evaluations... diagnosed as #bipolar #borderlinepersonalitydisorder #depresion and #anxiety ... only to come to #ifa and realize it wasn’t that.,no retweet username,[],2019-11-05 10:18:43+00:00,718,913,[]
Notarealguy1,"@whattheplucked @purplerainblue spoken like a true civilian, come work in my ward for a day and you will see the sickness evident in those people. alex jones is a great example. pardon my french but hes fucking insane. and a diagnosed bipolar schizophrenic.",no retweet username,[],2019-11-05 08:49:06+00:00,8,265,['diagnosed bipolar']
WoSoBri,"@notsoultracapo i suggest talking to an actual psychiatrist and seeing if you don't have depression,  but something else that would require different meds. i took antidepressants for a long time before finally being diagnosed with bipolar ii and getting meds that actually helped.",no retweet username,[],2019-11-05 08:35:18+00:00,936,2512,"['diagnosed with', 'diagnosed with bipolar']"
triggercalm,"happy #bookbirthday to @eleanorsegall! 🎉

eleanor’s life was rocked by her #bipolardisorder diagnosis. this is the true story of how she picked herself back up and turned things around in the name of #mentalhealthawareness - and it’s out today! 

https://t.co/etdhr3lsnf https://t.co/gxyu8pm42s",no retweet username,"[{'text': 'bookbirthday', 'indices': [6, 19]}, {'text': 'bipolardisorder', 'indices': [75, 91]}]",2019-11-05 06:22:34+00:00,7104,2288,[]
KamisaFreeman,i’ve noticed there’s a lot of celebrities that have been diagnosed with bipolar disorder. what if their talents have some connection to their disorder somehow?,no retweet username,[],2019-11-05 05:14:25+00:00,2597,4228,"['diagnosed with', 'diagnosed with bipolar']"
